Material,Radius_nm,Tm_K,Tm_bulk_K,Tm_ratio,Delta_Tm_ratio,Source_Notes
Au,2.0,450,1337,0.337,0.663,Buffat & Borel 1976
Au,3.0,521,1337,0.390,0.610,Dick et al. 2002
Au,4.0,854,1337,0.639,0.361,Dick et al. 2002
Au,5.0,950,1337,0.711,0.289,Multiple studies
Au,10.0,1150,1337,0.860,0.140,TEM/DSC
Au,15.0,1250,1337,0.935,0.065,TEM/DSC
Au,20.0,1300,1337,0.972,0.028,TEM/DSC
Pb,2.0,390,601,0.649,0.351,Theory 2021+
Pb,5.0,465,601,0.774,0.226,450-480K median
Pb,5.0,443,601,0.737,0.263,Takagi 1954 (film)
Pb,10.0,565,601,0.940,0.060,555-575K median
Ag,5.0,936,1234,0.759,0.241,Experimental
Ag,8.0,1084,1234,0.878,0.122,Experimental
Ag,12.0,1134,1234,0.919,0.081,Experimental
Ag,20.0,1159,1234,0.939,0.061,Experimental
Cu,2.0,963,1357,0.710,0.290,MD/Experiment
Cu,4.0,1050,1357,0.774,0.226,MD/Experiment
Cu,5.0,1207,1357,0.889,0.111,MD/Experiment
Cu,10.0,1289,1357,0.950,0.050,MD/Experiment
Al,2.0,440,933,0.472,0.528,MD simulation
Al,3.0,500,933,0.536,0.464,MD simulation
Al,4.0,600,933,0.643,0.357,MD simulation
Al,8.0,900,933,0.965,0.035,Sun & Simon 2007
Pt,2.0,1173,2041,0.575,0.425,ScienceDirect 2019
Pt,20.0,1947,2041,0.954,0.046,ACS Nano Lett. 2012
Pt,30.0,2005,2041,0.982,0.018,ACS Nano Lett. 2012
Fe,3.0,1100,1811,0.607,0.393,MD simulation
Fe,5.0,1200,1811,0.663,0.337,MD simulation
Fe,15.0,1780,1811,0.983,0.017,MD simulation
