Material,T_K,T_C,alpha_1e-6,E_GPa,sigma_y_MPa,Notes
Fe,300,27,11.8,210,"250-300","Room temperature (mild steel)"
Fe,400,127,13.0,190,"200-240","~80-90% strength retained"
Fe,473,200,13.5,180,220,"Peak strength region for some steels"
Fe,600,327,14.5,160,150,"<50% of RT strength"
Fe,800,527,16.7,"<140","Tens of MPa","Severe softening"
Fe,1000,727,15.0,"<100","<50","Near austenite region"
Fe,1043,770,13.6,,"","Curie point (magnetic transition) - α dips"
Fe,1180,907,15.6,,"","High-temperature expansion"
Fe,1811,1538,,,"0","Melting point"
Cu,300,27,16.5,120,"40-70","Annealed pure copper (OFHC)"
Cu,373,100,17.5,120,"38-66","~5% strength drop"
Cu,500,227,18.5,105,30,"Rapid softening begins"
Cu,600,327,19.0,100,10,"Severe weakening"
Cu,650,377,19.5,95,"<20","Near practical usage limit"
Cu,1000,727,20.0,70,"<10","Approaching quasi-liquid"
Cu,1357,1084,,0,0,"Melting point"
Al,300,27,23.0,69,"20-30","Pure Al (annealed)"
Al,373,100,23.5,66,15-20,"Rapid weakening"
Al,500,227,25.0,60,"<10","Essentially zero strength (>0.5 Tm)"
Al,600,327,25.5,50,"<5","Quasi-liquid behavior"
Al,700,427,26.0,45,"<2","Near-molten state"
Al,933,660,,0,0,"Melting point"
Ni,299,26,13.3,205,100-110,"Room temperature (annealed Ni200)"
Ni,373,100,13.7,200,170,"High strength retention"
Ni,473,200,14.2,192,115,"Moderate softening"
Ni,644,371,15.0,180,85,"Still useful strength"
Ni,773,500,15.5,177,65,"Retained ~60% of RT strength"
Ni,1000,727,16.5,160,40,"High-temperature applications"
Ni,1273,1000,16.9,140,"<20","Near limit for structural use"
Ni,1728,1455,,0,0,"Melting point"
Ti,300,27,8.6,118,250-300,"Pure Ti (α-phase)"
Ti,373,100,8.8,112,170,"Moderate strength loss"
Ti,473,200,9.0,108,115,"Significant softening begins"
Ti,573,300,9.4,102,80,"Rapid strength decline"
Ti,873,600,9.8,85,50,"High-temperature (α-phase limit)"
Ti,1155,882,,,"","α→β transformation (phase change)"
Ti,1941,1668,,0,0,"Melting point"
W,293,20,4.3,400,">500","Room temperature (refractory metal)"
W,500,227,4.6,390,480,"Minimal softening"
W,800,527,4.9,370,450,"Excellent retention"
W,1073,800,5.1,360,500,"Strength inc. slightly noted"
W,1273,1000,5.5,340,300,"Still strong at 1000°C"
W,1473,1200,5.8,320,300,"Practical upper limit for air use"
W,2000,1727,6.5,250,150,"Ultra-high temp applications"
W,3695,3422,,0,0,"Melting point"
Mg,300,27,26.0,45,200,"AZ31 (extruded/rolled) RT"
Mg,373,100,26.5,42,150,"Rapid softening begins"
Mg,473,200,28.0,35,"<100","Severe weakening"
Mg,573,300,29.0,22.5,"<50","Near practical limit (>0.6 Tm)"
Mg,673,400,30.0,12,"<20","Quasi-liquid behavior"
Mg,923,650,,0,0,"Melting point (pure Mg)"
